X1_1	X1_2	X1_3	X1_4	X1_5	X1_6	X1_7	X1_8	X1_9	X1_10	Y1_1	Y1_2	Y1_3	Y1_4	Y1_5	Y2_1	Y2_2	Y2_3	Y2_4	Y2_5	Y2_6	Y2_7
70	62	90	54	88	73	45	46	90	55	94	90	87	90	89	88	87	51	87	53	85	47
65	90	94	54	66	46	77	56	90	53	87	94	73	56	87	65	56	61	56	51	76	66
73	87	87	77	90	56	75	46	63	51	47	70	94	87	90	76	45	78	45	61	60	63
46	65	47	75	90	46	66	46	56	61	66	56	87	88	56	60	61	67	77	70	55	66
56	78	66	61	63	54	73	56	73	78	63	73	46	56	46	60	74	90	74	46	90	46
46	85	63	90	56	54	94	46	94	67	66	46	56	46	54	55	67	84	72	56	48	48
54	65	66	94	78	77	70	88	70	91	90	56	46	88	54	53	62	46	75	46	83	83
54	87	90	70	88	75	46	85	46	90	90	46	54	85	77	51	49	54	46	90	55	94
77	88	90	65	60	61	56	76	56	63	63	46	54	76	75	61	47	63	56	90	53	87
75	77	63	73	90	90	46	60	46	67	67	56	77	60	73	74	63	70	46	63	51	47
61	74	67	46	53	94	63	55	63	89	78	46	70	55	46	54	84	46	46	56	61	66
90	49	78	56	51	87	66	53	66	76	76	94	46	53	56	51	78	56	56	73	78	63
94	90	74	46	61	47	90	51	90	66	66	87	56	51	46	59	70	46	88	47	65	54
87	87	90	54	74	66	90	61	45	48	48	47	46	61	54	46	46	66	85	66	88	77
47	56	76	54	67	63	63	78	66	83	83	66	63	78	54	56	56	54	77	73	45	75
66	76	90	77	62	85	67	67	94	88	77	63	66	67	77	46	46	54	75	46	77	61
63	77	87	75	90	65	78	94	63	60	90	47	90	90	75	46	87	77	65	56	75	90
66	77	65	54	87	60	74	75	47	87	87	66	90	55	61	56	47	75	73	46	66	94
90	87	88	47	65	55	77	46	66	65	65	63	63	53	75	46	66	61	66	54	73	79
90	85	85	66	88	53	75	85	75	78	78	66	67	51	66	88	63	90	90	54	94	65
63	78	89	63	85	51	66	76	66	85	85	90	94	61	73	85	66	94	90	77	70	73
67	45	65	66	76	61	73	60	73	76	65	90	75	88	94	76	70	56	94	94	46	84
78	67	78	90	87	74	94	55	94	60	87	94	46	66	70	60	46	78	87	70	88	80
